2014-5-9,13:33:36,
TSL,SANTEC,TSL-510,13050006,0002.0082,
OPM,HEWLETT-PACKARD,HP8163A,DE38705993,V4.50(24037),
,Agilent Technologies,81619A,DE41201466,V4.01(1126),
,Agilent Technologies,81619A,DE38701300,V4.06(71686),
Start,1288.000000,nm
Stop,1300.000000,nm
Step,0.001000,nm
Speed,40.000000,nm/s
Source power,0.000000,dBm
Averaging Time,0.000100,s
Power range,0.0000,dBm
Wavelength(nm),Loss Slot1-Ch1(dB),
1288.00000000,-42.02062678,
1288.00100000,-42.79499036,
1288.00200000,-43.65743360,
1288.00300000,-44.20849122,
1288.00400000,-44.83892691,
1288.00500000,-45.57806410,
1288.00600000,-46.34632867,
1288.00700000,-44.13664403,
1288.00800000,-42.67903075,
1288.00900000,-41.58895713,
1288.01000000,-40.71832222,
1288.01100000,-41.14243294,
1288.01200000,-41.76427440,
1288.01300000,-42.49007127,
1288.01400000,-43.36341717,
1288.01500000,-42.84545747,
1288.01600000,-42.06228498,
1288.01700000,-41.39808141,
1288.01800000,-40.82330286,
1288.01900000,-40.47544153,
1288.02000000,-40.23377399,
1288.02100000,-40.00522523,
1288.02200000,-39.78645976,
1288.02300000,-39.91831573,
1288.02400000,-40.37988371,
1288.02500000,-40.89438397,
1288.02600000,-41.48003162,
1288.02700000,-41.86335421,
1288.02800000,-41.86347271,
1288.02900000,-41.86308294,
1288.03000000,-41.86191169,
1288.03100000,-42.27748550,
1288.03200000,-44.12955923,
1288.03300000,-47.42507363,
1288.03400000,-49.30056105,
1288.03500000,-49.30083621,
1288.03600000,-49.30037539,
1288.03700000,-48.60761641,
1288.03800000,-45.34646330,
1288.03900000,-43.56781627,
1288.04000000,-43.56632905,
1288.04100000,-43.56899308,
1288.04200000,-43.56953810,
1288.04300000,-43.56869947,
1288.04400000,-43.10859746,
1288.04500000,-42.67156234,
1288.04600000,-42.27412741,
1288.04700000,-41.90941213,
1288.04800000,-42.17601052,
1288.04900000,-42.56426807,
1288.05000000,-42.99235809,
1288.05100000,-43.46656380,
1288.05200000,-43.18932553,
1288.05300000,-42.74326384,
1288.05400000,-42.34050300,
1288.05500000,-41.97062611,
1288.05600000,-41.86732338,
1288.05700000,-41.86669721,
1288.05800000,-41.86811243,
1288.05900000,-41.86673160,
1288.06000000,-41.86663290,
1288.06100000,-41.86712436,
1288.06200000,-41.86577381,
1288.06300000,-41.86482837,
1288.06400000,-41.50642065,
1288.06500000,-40.91243178,
1288.06600000,-40.38965944,
1288.06700000,-39.92122157,
1288.06800000,-39.98748875,
1288.06900000,-40.72009472,
1288.07000000,-41.60035158,
1288.07100000,-42.70675824,
1288.07200000,-43.38239775,
1288.07300000,-42.91699238,
1288.07400000,-42.49607655,
1288.07500000,-42.11036913,
1288.07600000,-41.76033888,
1288.07700000,-41.43469373,
1288.07800000,-41.13335918,
1288.07900000,-40.84890179,
1288.08000000,-40.63875639,
1288.08100000,-40.63798838,
1288.08200000,-40.63780592,
1288.08300000,-40.63817565,
1288.08400000,-40.53000277,
1288.08500000,-40.26472394,
1288.08600000,-40.01553972,
1288.08700000,-39.77962080,
1288.08800000,-39.68430879,
1288.08900000,-39.68483162,
1288.09000000,-39.68340117,
1288.09100000,-39.68327419,
1288.09200000,-39.68397652,
1288.09300000,-39.68376329,
1288.09400000,-39.68503034,
1288.09500000,-39.68675825,
1288.09600000,-39.90822538,
1288.09700000,-40.15130122,
1288.09800000,-40.40846209,
1288.09900000,-40.68291416,
1288.10000000,-40.97518616,
1288.10100000,-41.28877157,
1288.10200000,-41.62691935,
1288.10300000,-41.73914862,
1288.10400000,-41.39219825,
1288.10500000,-41.07349588,
1288.10600000,-40.77506247,
1288.10700000,-40.95229070,
1288.10800000,-41.59952648,
1288.10900000,-42.36010916,
1288.11000000,-43.28156484,
1288.11100000,-42.84455083,
1288.11200000,-42.00086099,
1288.11300000,-41.29607658,
1288.11400000,-40.69055479,
1288.11500000,-40.90408089,
1288.11600000,-41.21312036,
1288.11700000,-41.54580509,
1288.11800000,-41.82424068,
1288.11900000,-41.47291049,
1288.12000000,-41.14457252,
1288.12100000,-40.86489349,
1288.12200000,-40.72001701,
1288.12300000,-41.28142492,
1288.12400000,-41.92604543,
1288.12500000,-42.68416248,
1288.12600000,-43.53692749,
1288.12700000,-42.62955809,
1288.12800000,-41.88033614,
1288.12900000,-41.24098073,
1288.13000000,-40.68387417,
1288.13100000,-40.40837680,
1288.13200000,-40.16913908,
1288.13300000,-39.94201714,
1288.13400000,-39.72660146,
1288.13500000,-39.68165441,
1288.13600000,-39.68137868,
1288.13700000,-39.68133260,
1288.13800000,-39.68112485,
1288.13900000,-39.68090519,
1288.14000000,-39.68151677,
1288.14100000,-39.68076349,
1288.14200000,-39.68244341,
1288.14300000,-39.68267773,
1288.14400000,-39.68359678,
1288.14500000,-39.68357216,
1288.14600000,-39.68401495,
1288.14700000,-39.68458832,
1288.14800000,-39.68550611,
1288.14900000,-39.68522535,
1288.15000000,-39.68522848,
1288.15100000,-39.62569316,
1288.15200000,-39.42737450,
1288.15300000,-39.23640014,
1288.15400000,-39.05323781,
1288.15500000,-38.93623355,
1288.15600000,-39.11379612,
1288.15700000,-39.30042568,
1288.15800000,-39.49442419,
1288.15900000,-39.67132674,
1288.16000000,-39.27791730,
1288.16100000,-38.91308756,
1288.16200000,-38.57679151,
1288.16300000,-38.26195385,
1288.16400000,-38.86019775,
1288.16500000,-39.61526139,
1288.16600000,-40.52777622,
1288.16700000,-41.68732551,
1288.16800000,-40.80631945,
1288.16900000,-39.83748334,
1288.17000000,-39.04739147,
1288.17100000,-38.37793659,
1288.17200000,-38.13162634,
1288.17300000,-37.98657351,
1288.17400000,-37.84762756,
1288.17500000,-37.71302234,
1288.17600000,-37.86354859,
1288.17700000,-38.14861580,
1288.17800000,-38.45326554,
1288.17900000,-38.77971621,
1288.18000000,-38.80298561,
1288.18100000,-38.63424988,
1288.18200000,-38.47305590,
1288.18300000,-38.31767208,
1288.18400000,-38.33071086,
1288.18500000,-38.48688354,
1288.18600000,-38.64925038,
1288.18700000,-38.81572547,
1288.18800000,-38.99248448,
1288.18900000,-39.17443637,
1288.19000000,-39.36694914,
1288.19100000,-39.56139572,
1288.19200000,-39.69136325,
1288.19300000,-39.68997340,
1288.19400000,-39.68957881,
1288.19500000,-39.69016696,
1288.19600000,-39.56685910,
1288.19700000,-39.17699286,
1288.19800000,-38.81836915,
1288.19900000,-38.49184286,
1288.20000000,-38.21515237,
